,open,high,low,close,volume,time,AVG,PV,cumPV,cumV,VWAP,EMA
99,390.9,390.9899,390.87,390.9899,15987,08:44:00,390.95,6250117.65,255365454.51,654126,390.39,390.7572555772853
100,390.98,390.98,390.92,390.92,3187,08:45:00,390.94,1245925.78,256611380.29,657313,390.39,390.802941682964
101,390.97,390.99,390.91,390.91,3939,08:46:00,390.94,1539912.66,258151292.95,661252,390.4,390.837206262223
102,390.9,390.91,390.64,390.72,11358,08:47:00,390.76,4438252.08,262589545.03,672610,390.4,390.81790469666726
103,390.76,390.76,390.7,390.71,1911,08:48:00,390.72,746665.92,263336210.95,674521,390.4,390.79342852250045
104,390.71,390.72,390.63,390.65,3946,08:49:00,390.67,1541583.82,264877794.77,678467,390.41,390.7625713918753
105,390.65,390.7,390.62,390.62,19536,08:50:00,390.65,7631738.4,272509533.17,698003,390.41,390.73442854390646
106,390.64,390.66,390.61,390.66,1307,08:51:00,390.64,510566.48,273020099.65,699310,390.41,390.71082140792987
107,390.64,390.64,390.6,390.64,3700,08:53:00,390.63,1445331.0,274465430.65,703010,390.41,390.69061605594743
108,390.64,390.65,390.62,390.65,2535,08:54:00,390.64,990272.4,275455703.05,705545,390.42,390.67796204196054
109,390.64,390.64,390.64,390.64,200,08:55:00,390.64,78128.0,275533831.05,705745,390.42,390.66847153147035
110,390.66,390.71,390.66,390.71,920,08:56:00,390.69,359434.8,275893265.85,706665,390.42,390.67385364860274
111,390.66,390.66,390.6,390.63,3457,08:57:00,390.63,1350407.91,277243673.76,710122,390.42,390.6628902364521
112,390.6496,390.66,390.62,390.66,1010,08:58:00,390.65,394556.5,277638230.26,711132,390.42,390.65966767733903
113,390.66,390.66,390.63,390.65,1203,08:59:00,390.65,469951.95,278108182.21,712335,390.42,390.65725075800424
114,390.61,390.76,390.55,390.76,26790,09:00:00,390.69,10466585.1,288574767.31,739125,390.43,390.6654380685032
115,390.77,390.83,390.63,390.7,52795,09:01:00,390.72,20628062.4,309202829.71,791920,390.45,390.6790785513774
116,390.71,390.74,390.71,390.71,1430,09:02:00,390.72,558729.6,309761559.31,793350,390.45,390.68930891353307
117,390.73,390.73,390.67,390.67,1440,09:03:00,390.69,562593.6,310324152.91,794790,390.45,390.6894816851498
118,390.62,390.62,390.46,390.55,4901,09:04:00,390.54,1914036.54,312238189.45,799691,390.45,390.65211126386237
119,390.6,390.6496,390.57,390.61,1271,09:05:00,390.61,496465.31,312734654.76,800962,390.45,390.6415834478968
120,390.59,390.62,390.59,390.6,3145,09:06:00,390.6,1228437.0,313963091.76,804107,390.45,390.6311875859226
121,390.63,390.65,390.63,390.63,5149,09:07:00,390.64,2011405.36,315974497.12,809256,390.45,390.63339068944197
122,390.64,390.64,390.64,390.64,132,09:08:00,390.64,51564.48,316026061.6,809388,390.45,390.63504301708144
123,390.66,390.69,390.64,390.69,444,09:09:00,390.67,173457.48,316199519.08,809832,390.45,390.6437822628111
124,390.69,390.78,390.66,390.78,2573,09:10:00,390.74,1005374.02,317204893.1,812405,390.45,390.6678366971083
125,390.8,390.9,390.8,390.9,3041,09:11:00,390.87,1188635.67,318393528.77,815446,390.45,390.71837752283125
126,390.94,390.95,390.89,390.89,1600,09:12:00,390.91,625456.0,319018984.77,817046,390.45,390.7662831421234
127,390.89,390.92,390.89,390.92,4500,09:13:00,390.91,1759095.0,320778079.77,821546,390.46,390.8022123565926
128,390.9,390.91,390.83,390.83,3587,09:14:00,390.86,1402014.82,322180094.59,825133,390.46,390.8166592674445
129,390.82,390.84,390.8,390.84,784,09:15:00,390.83,306410.72,322486505.31,825917,390.46,390.81999445058335
130,390.84,390.85,390.83,390.85,940,09:16:00,390.84,367389.6,322853894.91,826857,390.46,390.8249958379375
131,390.84,390.84,390.84,390.84,117,09:17:00,390.84,45728.28,322899623.19,826974,390.46,390.8287468784531
132,390.81,390.81,390.8,390.81,12399,09:18:00,390.81,4845653.19,327745276.38,839373,390.46,390.8240601588398
133,390.81,390.81,390.8,390.8,6988,09:19:00,390.8,2730910.4,330476186.78,846361,390.47,390.81804511912986
134,390.82,390.82,390.8,390.8,5800,09:20:00,390.81,2266698.0,332742884.78,852161,390.47,390.81603383934737
135,390.84,390.9,390.84,390.9,1657,09:21:00,390.88,647688.16,333390572.94,853818,390.47,390.8320253795106
136,390.9,390.95,390.9,390.95,1805,09:22:00,390.93,705628.65,334096201.59,855623,390.47,390.856519034633
137,390.95,391.02,390.95,390.98,36376,09:23:00,390.98,14222288.48,348318490.07,891999,390.49,390.8873892759747
138,390.98,390.98,390.95,390.95,13522,09:24:00,390.96,5286561.12,353605051.19,905521,390.5,390.90554195698104
139,390.92,390.92,390.89,390.92,4196,09:25:00,390.91,1640258.36,355245309.55,909717,390.5,390.9066564677358
140,390.93,390.97,390.93,390.93,3584,09:26:00,390.94,1401128.96,356646438.51,913301,390.5,390.91499235080187
141,390.98,391.04,390.98,391.04,5869,09:27:00,391.02,2294896.38,358941334.89,919170,390.51,390.9412442631014
142,391.04,391.04,390.9,390.99,29422,09:28:00,390.98,11503413.56,370444748.45,948592,390.52,390.95093319732604
143,390.99,391.02,390.94,390.96,23849,09:29:00,390.97,9324243.53,379768991.98,972441,390.53,390.9556998979945
144,390.93,390.98,390.84,390.95,379641,09:30:00,390.92,148409259.72,528178251.7,1352082,390.64,390.9467749234959
145,390.95,391.12,390.9,391.12,214181,09:31:00,391.05,83755480.05,611933731.75,1566263,390.7,390.97258119262193
146,391.12,391.34,391.0,391.065,267816,09:32:00,391.14,104753550.24,716687281.99,1834079,390.76,391.0144358944665
147,391.05,391.31,390.94,391.25,234404,09:33:00,391.17,91691812.68,808379094.67,2068483,390.81,391.0533269208499
148,391.26,391.33,391.17,391.27,259289,09:34:00,391.26,101449414.14,909828508.81,2327772,390.86,391.1049951906374
149,391.28,391.32,391.045,391.09,280040,09:35:00,391.15,109537646.0,1019366154.81,2607812,390.89,391.11624639297804
150,391.1,391.135,390.99,391.08,282680,09:36:00,391.07,110547667.6,1129913822.41,2890492,390.91,391.1046847947335
151,391.1,391.237,390.99,391.01,247027,09:37:00,391.08,96607319.16,1226521141.57,3137519,390.92,391.0985135960501
152,391.005,391.135,390.97,391.06,237327,09:38:00,391.06,92809096.62,1319330238.19,3374846,390.93,391.0888851970376
153,391.05,391.25,391.05,391.22,214749,09:39:00,391.17,84003366.33,1403333604.52,3589595,390.94,391.1091638977782
154,391.22,391.325,391.09,391.15,180481,09:40:00,391.19,70602362.39,1473935966.91,3770076,390.96,391.1293729233337
155,391.14,391.21,391.04,391.0411,197904,09:41:00,391.1,77400254.4,1551336221.31,3967980,390.96,391.1220296925003
156,391.04,391.09,390.91,391.02,215243,09:42:00,391.01,84162165.43,1635498386.74,4183223,390.97,391.0940222693752
157,391.02,391.02,390.8401,390.95,230237,09:43:00,390.94,90008852.78,1725507239.52,4413460,390.96,391.0555167020314
158,390.95,391.13,390.88,391.03,144229,09:44:00,391.01,56394981.29,1781902220.81,4557689,390.97,391.04413752652357
159,391.05,391.19,390.91,390.99,221803,09:45:00,391.03,86731627.09,1868633847.9,4779492,390.97,391.04060314489266
160,390.99,391.25,390.96,391.25,290232,09:46:00,391.15,113524246.8,1982158094.7,5069724,390.98,391.06795235866946
161,391.26,391.39,391.21,391.225,140359,09:47:00,391.27,54918265.93,2037076360.63,5210083,390.99,391.11846426900206
162,391.22,391.28,391.09,391.2,171135,09:48:00,391.19,66946300.65,2104022661.28,5381218,390.99,391.13634820175156
