,open,high,low,close,volume,datetime
66,391.13,391.17,391.08,391.17,2800,1616501280000
67,391.19,391.21,391.18,391.2,2700,1616501340000
68,391.21,391.26,391.21,391.26,2416,1616501400000
69,391.32,391.32,391.29,391.29,400,1616501460000
70,391.29,391.29,391.21,391.21,820,1616501520000
71,391.25,391.25,391.23,391.23,387,1616501580000
72,391.2,391.31,391.2,391.31,350,1616501640000
73,391.31,391.31,391.28,391.29,400,1616501700000
74,391.33,391.43,391.33,391.43,1307,1616501760000
75,391.41,391.41,391.24,391.36,6562,1616501820000
76,391.3,391.3,391.3,391.3,200,1616501880000
77,391.35,391.36,391.35,391.35,900,1616501940000
78,391.31,391.31,391.24,391.24,600,1616502000000
79,391.28,391.35,391.28,391.34,1375,1616502060000
80,391.36,391.41,391.36,391.402,2059,1616502120000
81,391.41,391.41,391.41,391.41,300,1616502180000
82,391.42,391.42,391.38,391.38,500,1616502240000
83,391.4,391.4,391.39,391.39,1266,1616502300000
84,391.33,391.36,391.33,391.36,298,1616502360000
85,391.34,391.34,391.22,391.29,1590,1616502420000
86,391.34,391.34,391.34,391.34,200,1616502480000
87,391.3,391.3,391.3,391.3,100,1616502540000
88,391.31,391.31,391.3,391.3,220,1616502600000
89,391.25,391.29,391.2,391.28,2754,1616502660000
90,391.26,391.26,391.26,391.26,200,1616502720000
91,391.31,391.38,391.3,391.38,2000,1616502780000
92,391.35,391.49,391.35,391.4,12941,1616502840000
93,391.4,391.42,391.36,391.36,1515,1616502900000
94,391.36,391.36,391.32,391.32,4900,1616502960000
95,391.34,391.37,391.34,391.37,600,1616503020000
96,391.36,391.36,391.36,391.36,101,1616503080000
97,391.37,391.37,391.37,391.37,1000,1616503140000
98,391.37,391.3899,391.35,391.3899,5006,1616503200000
99,391.39,391.45,391.39,391.45,800,1616503260000
100,391.47,391.47,391.47,391.47,100,1616503320000
101,391.46,391.46,391.42,391.44,1399,1616503380000
102,391.47,391.5,391.47,391.5,3999,1616503440000
103,391.5,391.53,391.5,391.52,7475,1616503500000
104,391.55,391.55,391.46,391.46,2872,1616503560000
105,391.45,391.47,391.45,391.47,2850,1616503620000
106,391.45,391.45,391.32,391.33,12930,1616503680000
107,391.34,391.44,391.34,391.41,5905,1616503740000
108,391.44,391.58,391.44,391.53,6142,1616503800000
109,391.54,391.54,391.47,391.48,3005,1616503860000
110,391.47,391.5,391.47,391.5,8056,1616503920000
111,391.5,391.5,391.47,391.47,8700,1616503980000
112,391.53,391.53,391.53,391.53,2379,1616504040000
113,391.58,391.7,391.58,391.7,4049,1616504100000
114,391.71,391.76,391.68,391.75,1890,1616504160000
115,391.71,391.73,391.71,391.73,19323,1616504220000
116,391.73,391.73,391.73,391.73,2271,1616504280000
117,391.73,391.73,391.69,391.7,1500,1616504340000
118,391.73,391.85,391.73,391.82,3347,1616504400000
119,391.8,391.83,391.75,391.77,3399,1616504460000
120,391.79,391.84,391.78,391.78,7353,1616504520000
121,391.79,391.8,391.75,391.75,4925,1616504580000
122,391.77,391.78,391.77,391.78,1100,1616504640000
123,391.76,391.76,391.7,391.71,2136,1616504700000
124,391.72,391.73,391.72,391.73,350,1616504760000
125,391.73,391.73,391.73,391.73,1925,1616504820000
126,391.67,391.67,391.61,391.61,2536,1616504880000
127,391.64,391.7,391.64,391.7,16200,1616504940000
128,391.66,391.66,391.61,391.66,2535,1616505000000
129,391.61,391.63,391.56,391.63,10927,1616505060000
130,391.63,391.63,391.61,391.61,700,1616505120000
131,391.61,391.61,391.5605,391.58,3550,1616505180000
132,391.6,391.69,391.6,391.66,1119,1616505240000
133,391.66,391.66,391.6,391.63,2600,1616505300000
134,391.65,391.71,391.65,391.7,3490,1616505360000
135,391.67,391.75,391.67,391.72,3572,1616505420000
136,391.73,391.74,391.66,391.66,1322,1616505480000
137,391.65,391.7,391.65,391.7,1000,1616505540000
138,391.7,391.7,391.67,391.67,2300,1616505600000
139,391.65,391.67,391.65,391.67,1759,1616505660000
140,391.68,391.74,391.68,391.74,2020,1616505720000
141,391.81,391.81,391.77,391.8,6520,1616505780000
142,391.77,391.83,391.77,391.8,8715,1616505840000
143,391.78,391.84,391.78,391.81,4493,1616505900000
144,391.78,391.79,391.7,391.78,16501,1616505960000
145,391.84,391.84,391.75,391.76,14063,1616506020000
146,391.76,391.79,391.76,391.76,1200,1616506080000
147,391.77,391.89,391.76,391.89,30639,1616506140000
148,391.9,391.96,391.73,391.755,434571,1616506200000
149,391.76,391.94,391.56,391.85,304342,1616506260000
150,391.85,391.88,391.63,391.64,286404,1616506320000
151,391.64,392.0,391.63,391.915,223217,1616506380000
152,391.91,391.97,391.81,391.88,145705,1616506440000
